PRESENTED_AT_ID,Paper_ID,Edition_ID
35304,12001,36399
35305,12002,36396
35306,12003,36398
35307,12004,36396
35308,12005,36401
35309,12006,36404
35310,12007,36400
35311,12008,36399
35312,12009,36398
35313,12010,36399
35314,12011,36395
35315,12012,36395
35316,12013,36399
35317,12014,36396
35318,12015,36400
35319,12016,36396
35320,12017,36400
35321,12018,36404
35322,12019,36394
35323,12020,36399
35324,12021,36404
35325,12022,36396
35326,12023,36396
35327,12024,36398
35328,12025,36399
35329,12026,36400
35330,12027,36399
35331,12028,36403
35332,12029,36401
35333,12030,36399
35334,12031,36404
35335,12032,36402
35336,12033,36396
35337,12034,36394
35338,12035,36402
35339,12036,36400
35340,12037,36396
35341,12038,36399
35342,12039,36397
35343,12040,36402
35344,12041,36400
35345,12042,36398
35346,12043,36397
35347,12044,36396
35348,12045,36404
35349,12046,36401
35350,12047,36404
35351,12048,36396
35352,12049,36402
35353,12050,36402
35354,12051,36399
35355,12052,36395
35356,12053,36400
35357,12054,36402
35358,12055,36396
35359,12056,36396
35360,12057,36398
35361,12058,36396
35362,12059,36404
35363,12060,36394
35364,12061,36402
35365,12062,36401
35366,12063,36404
35367,12064,36394
35368,12065,36394
35369,12066,36402
35370,12067,36394
35371,12068,36398
35372,12069,36396
35373,12070,36395
35374,12071,36399
35375,12072,36399
35376,12073,36399
35377,12074,36399
35378,12075,36398
35379,12076,36402
35380,12077,36401
35381,12078,36398
35382,12079,36396
35383,12080,36399
35384,12081,36403
35385,12082,36394
35386,12083,36401
35387,12084,36396
35388,12085,36396
35389,12086,36399
35390,12087,36402
35391,12088,36399
35392,12089,36399
35393,12090,36402
35394,12091,36399
35395,12092,36400
35396,12093,36399
35397,12094,36399
35398,12095,36402
35399,12096,36394
35400,12097,36403
35401,12098,36404
35402,12099,36398
35403,12100,36402
35404,12101,36404
35405,12102,36402
35406,12103,36404
35407,12104,36402
35408,12105,36398
35409,12106,36395
35410,12107,36404
35411,12108,36399
35412,12109,36394
35413,12110,36402
35414,12111,36400
35415,12112,36399
35416,12113,36394
35417,12114,36398
35418,12115,36396
35419,12116,36401
35420,12117,36402
35421,12118,36404
35422,12119,36395
35423,12120,36401
35424,12121,36400
35425,12122,36399
35426,12123,36399
35427,12124,36399
35428,12125,36396
35429,12126,36398
35430,12127,36399
35431,12128,36402
35432,12129,36396
35433,12130,36399
35434,12131,36394
35435,12132,36399
35436,12133,36399
35437,12134,36396
35438,12135,36402
35439,12136,36395
35440,12137,36399
35441,12138,36404
35442,12139,36401
35443,12140,36396
35444,12141,36404
35445,12142,36396
35446,12143,36399
35447,12144,36404
35448,12145,36396
35449,12146,36400
35450,12147,36402
35451,12148,36399
35452,12149,36399
35453,12150,36402
35454,12151,36396
35455,12152,36399
35456,12153,36398
35457,12154,36403
35458,12155,36401
35459,12156,36398
35460,12157,36398
35461,12158,36396
35462,12159,36397
35463,12160,36402
35464,12161,36399
35465,12162,36402
35466,12163,36402
35467,12164,36398
35468,12165,36397
35469,12166,36399
35470,12167,36396
35471,12168,36402
35472,12169,36404
35473,12170,36396
35474,12171,36399
35475,12172,36399
35476,12173,36399
35477,12174,36402
35478,12175,36395
35479,12176,36399
35480,12177,36399
35481,12178,36398
35482,12179,36396
35483,12180,36396
35484,12181,36399
35485,12182,36400
35486,12183,36394
35487,12184,36401
35488,12185,36398
35489,12186,36400
35490,12187,36395
35491,12188,36401
35492,12189,36400
35493,12190,36402
35494,12191,36403
35495,12192,36399
35496,12193,36404
35497,12194,36399
35498,12195,36402
35499,12196,36399
35500,12197,36396
35501,12198,36402
35502,12199,36398
35503,12200,36399
35504,12201,36399
35505,12202,36404
35506,12203,36396
35507,12204,36402
35508,12205,36395
35509,12206,36399
35510,12207,36403
35511,12208,36399
35512,12209,36402
35513,12210,36398
35514,12211,36394
35515,12212,36394
35516,12213,36402
35517,12214,36394
35518,12215,36397
35519,12216,36395
35520,12217,36398
35521,12218,36397
35522,12219,36397
35523,12220,36399
35524,12221,36396
35525,12222,36402
35526,12223,36402
35527,12224,36399
35528,12225,36396
35529,12226,36394
35530,12227,36396
35531,12228,36401
35532,12229,36400
35533,12230,36402
35534,12231,36396
35535,12232,36404
35536,12233,36398
35537,12234,36398
35538,12235,36399
35539,12236,36400
35540,12237,36396
35541,12238,36396
35542,12239,36396
35543,12240,36400
35544,12241,36396
35545,12242,36395
35546,12243,36397
35547,12244,36399
35548,12245,36399
35549,12246,36401
35550,12247,36399
35551,12248,36394
35552,12249,36396
35553,12250,36396
35554,12251,36401
35555,12252,36394
35556,12253,36399
35557,12254,36396
35558,12255,36395
35559,12256,36398
35560,12257,36399
35561,12258,36396
35562,12259,36399
35563,12260,36401
35564,12261,36396
35565,12262,36401
35566,12263,36402
35567,12264,36398
35568,12265,36404
35569,12266,36399
35570,12267,36399
35571,12268,36402
35572,12269,36404
35573,12270,36396
35574,12271,36398
35575,12272,36396
35576,12273,36402
35577,12274,36402
35578,12275,36399
35579,12276,36399
35580,12277,36399
35581,12278,36399
35582,12279,36404
35583,12280,36399
35584,12281,36396
35585,12282,36394
35586,12283,36402
35587,12284,36399
35588,12285,36394
35589,12286,36403
35590,12287,36394
35591,12288,36396
35592,12289,36398
35593,12290,36396
35594,12291,36398
35595,12292,36394
35596,12293,36396
35597,12294,36399
35598,12295,36402
35599,12296,36398
35600,12297,36400
35601,12298,36401
35602,12299,36396
35603,12300,36400
35604,12301,36399
35605,12302,36395
35606,12303,36404
35607,12304,36404
35608,12305,36396
35609,12306,36402
35610,12307,36399
35611,12308,36396
35612,12309,36398
35613,12310,36396
35614,12311,36400
35615,12312,36400
35616,12313,36398
35617,12314,36401
35618,12315,36402
35619,12316,36402
35620,12317,36394
35621,12318,36404
35622,12319,36396
35623,12320,36394
35624,12321,36402
35625,12322,36400
35626,12323,36399
35627,12324,36399
35628,12325,36396
35629,12326,36402
35630,12327,36396
35631,12328,36402
35632,12329,36399
35633,12330,36395
35634,12331,36402
35635,12332,36404
35636,12333,36394
35637,12334,36397
35638,12335,36394
35639,12336,36401
35640,12337,36400
35641,12338,36394
35642,12339,36394
35643,12340,36399
35644,12341,36396
35645,12342,36404
35646,12343,36399
35647,12344,36401
35648,12345,36404
35649,12346,36395
35650,12347,36398
35651,12348,36404
35652,12349,36395
35653,12350,36399
35654,12351,36397
35655,12352,36399
35656,12353,36402
35657,12354,36396
35658,12355,36396
35659,12356,36399
35660,12357,36399
35661,12358,36402
35662,12359,36398
35663,12360,36396
35664,12361,36404
35665,12362,36398
35666,12363,36396
35667,12364,36398
35668,12365,36399
35669,12366,36399
35670,12367,36399
35671,12368,36398
35672,12369,36400
35673,12370,36399
35674,12371,36395
35675,12372,36404
35676,12373,36394
35677,12374,36399
35678,12375,36403
35679,12376,36396
35680,12377,36396
35681,12378,36403
35682,12379,36399
35683,12380,36402
35684,12381,36399
35685,12382,36400
35686,12383,36398
35687,12384,36402
35688,12385,36399
35689,12386,36397
35690,12387,36398
35691,12388,36398
35692,12389,36404
35693,12390,36404
35694,12391,36398
35695,12392,36399
35696,12393,36401
35697,12394,36402
35698,12395,36403
35699,12396,36396
35700,12397,36404
35701,12398,36400
35702,12399,36399
35703,12400,36397
35704,12401,36398
35705,12402,36404
35706,12403,36396
35707,12404,36398
35708,12405,36404
35709,12406,36404
35710,12407,36402
35711,12408,36401
35712,12409,36403
35713,12410,36399
35714,12411,36398
35715,12412,36402
35716,12413,36402
35717,12414,36404
35718,12415,36394
35719,12416,36402
35720,12417,36401
35721,12418,36402
35722,12419,36404
35723,12420,36396
35724,12421,36394
35725,12422,36398
35726,12423,36403
35727,12424,36402
35728,12425,36399
35729,12426,36399
35730,12427,36400
35731,12428,36396
35732,12429,36394
35733,12430,36394
35734,12431,36395
35735,12432,36399
35736,12433,36394
35737,12434,36394
35738,12435,36402
35739,12436,36399
35740,12437,36403
35741,12438,36401
35742,12439,36399
35743,12440,36399
35744,12441,36396
35745,12442,36399
35746,12443,36397
35747,12444,36396
35748,12445,36394
35749,12446,36396
35750,12447,36404
35751,12448,36395
35752,12449,36399
35753,12450,36400
35754,12451,36396
35755,12452,36396
35756,12453,36399
35757,12454,36399
35758,12455,36402
35759,12456,36400
35760,12457,36394
35761,12458,36404
35762,12459,36394
35763,12460,36399
35764,12461,36396
35765,12462,36402
35766,12463,36399
35767,12464,36404
35768,12465,36402
35769,12466,36399
35770,12467,36396
35771,12468,36399
35772,12469,36404
35773,12470,36400
35774,12471,36395
35775,12472,36402
35776,12473,36397
35777,12474,36395
35778,12475,36398
35779,12476,36398
35780,12477,36402
35781,12478,36399
35782,12479,36398
35783,12480,36396
35784,12481,36402
35785,12482,36396
35786,12483,36402
35787,12484,36404
35788,12485,36396
35789,12486,36396
35790,12487,36398
35791,12488,36397
35792,12489,36394
35793,12490,36404
35794,12491,36399
35795,12492,36403
35796,12493,36404
35797,12494,36394
35798,12495,36399
35799,12496,36401
35800,12497,36394
35801,12498,36404
35802,12499,36403
35803,12500,36401
35804,12501,36398
35805,12502,36396
35806,12503,36401
35807,12504,36403
35808,12505,36396
35809,12506,36396
35810,12507,36404
35811,12508,36402
35812,12509,36399
35813,12510,36402
35814,12511,36396
35815,12512,36399
35816,12513,36399
35817,12514,36402
35818,12515,36399
35819,12516,36396
35820,12517,36397
35821,12518,36401
35822,12519,36395
35823,12520,36399
35824,12521,36396
35825,12522,36399
35826,12523,36399
35827,12524,36398
35828,12525,36397
35829,12526,36402
35830,12527,36402
35831,12528,36400
35832,12529,36401
35833,12530,36402
35834,12531,36404
35835,12532,36401
35836,12533,36399
35837,12534,36402
35838,12535,36401
35839,12536,36397
35840,12537,36398
35841,12538,36399
35842,12539,36397
35843,12540,36398
35844,12541,36397
35845,12542,36399
35846,12543,36399
35847,12544,36401
35848,12545,36402
35849,12546,36396
35850,12547,36403
35851,12548,36399
35852,12549,36396
35853,12550,36399
35854,12551,36399
35855,12552,36395
35856,12553,36404
35857,12554,36398
35858,12555,36398
35859,12556,36404
35860,12557,36402
35861,12558,36396
35862,12559,36402
35863,12560,36399
35864,12561,36399
35865,12562,36401
35866,12563,36394
35867,12564,36399
35868,12565,36401
35869,12566,36402
35870,12567,36395
35871,12568,36397
35872,12569,36404
35873,12570,36398
35874,12571,36402
35875,12572,36403
35876,12573,36399
35877,12574,36398
35878,12575,36396
35879,12576,36401
35880,12577,36398
35881,12578,36399
35882,12579,36402
35883,12580,36394
35884,12581,36396
35885,12582,36402
35886,12583,36399
35887,12584,36399
35888,12585,36397
35889,12586,36399
35890,12587,36396
35891,12588,36396
35892,12589,36396
35893,12590,36399
35894,12591,36404
35895,12592,36398
35896,12593,36402
35897,12594,36399
35898,12595,36402
35899,12596,36396
35900,12597,36396
35901,12598,36404
35902,12599,36404
35903,12600,36404
35904,12601,36398
35905,12602,36396
35906,12603,36394
35907,12604,36399
35908,12605,36399
35909,12606,36404
35910,12607,36402
35911,12608,36400
35912,12609,36404
35913,12610,36399
35914,12611,36394
35915,12612,36396
35916,12613,36401
35917,12614,36399
35918,12615,36399
35919,12616,36398
35920,12617,36397
35921,12618,36404
35922,12619,36398
35923,12620,36402
35924,12621,36402
35925,12622,36396
35926,12623,36399
35927,12624,36397
35928,12625,36400
35929,12626,36398
35930,12627,36399
35931,12628,36401
35932,12629,36401
35933,12630,36399
35934,12631,36404
35935,12632,36399
35936,12633,36398
35937,12634,36398
35938,12635,36397
35939,12636,36396
35940,12637,36403
35941,12638,36395
35942,12639,36399
35943,12640,36404
35944,12641,36399
35945,12642,36400
35946,12643,36399
35947,12644,36399
35948,12645,36398
35949,12646,36396
35950,12647,36396
35951,12648,36404
35952,12649,36395
35953,12650,36399
35954,12651,36402
35955,12652,36402
35956,12653,36404
35957,12654,36399
35958,12655,36400
35959,12656,36402
35960,12657,36396
35961,12658,36396
35962,12659,36402
35963,12660,36402
35964,12661,36395
35965,12662,36399
35966,12663,36394
35967,12664,36396
35968,12665,36395
35969,12666,36399
35970,12667,36401
35971,12668,36396
35972,12669,36397
35973,12670,36398
35974,12671,36399
35975,12672,36398
35976,12673,36403
35977,12674,36401
35978,12675,36396
35979,12676,36399
35980,12677,36402
35981,12678,36402
35982,12679,36400
35983,12680,36398
35984,12681,36400
35985,12682,36400
35986,12683,36400
35987,12684,36396
35988,12685,36398
35989,12686,36401
35990,12687,36398
35991,12688,36394
35992,12689,36394
35993,12690,36399
35994,12691,36398
35995,12692,36402
35996,12693,36404
36008,12694,36396
36009,12695,36394
36010,12696,36399
36011,12697,36398
36012,12698,36399
36013,12699,36396
36014,12700,36398
36015,12701,36395
36016,12702,36396
36017,12703,36402
36018,12704,36394
36019,12705,36402
36020,12706,36399
36021,12707,36396
36022,12708,36398
36023,12709,36402
36024,12710,36404
36025,12711,36394
36026,12712,36401
36027,12713,36396
36028,12714,36394
36029,12715,36395
36030,12716,36398
36031,12717,36401
36032,12718,36403
36033,12719,36396
36034,12720,36398
36035,12721,36396
36036,12722,36396
36037,12723,36402
36038,12724,36396
36039,12725,36394
36040,12726,36400
36041,12727,36399
36042,12728,36394
36043,12729,36402
36044,12730,36394
36045,12731,36397
36046,12732,36399
36047,12733,36397
36048,12734,36397
36049,12735,36402
36050,12736,36398
36051,12737,36402
36052,12738,36402
36053,12739,36403
36054,12740,36402
36055,12741,36404
36056,12742,36397
36057,12743,36395
36058,12744,36402
36059,12745,36398
36060,12746,36399
36061,12747,36398
36062,12748,36396
36063,12749,36398
36064,12750,36402
36065,12751,36402
36066,12752,36399
36067,12753,36398
36068,12754,36401
36069,12755,36399
36070,12756,36404
36071,12757,36399
36072,12758,36398
36073,12759,36394
36074,12760,36404
36075,12761,36398
36076,12762,36399
36077,12763,36402
36078,12764,36396
36079,12765,36398
36080,12766,36398
36081,12767,36399
36082,12768,36397
36083,12769,36402
36084,12770,36398
36085,12771,36396
36086,12772,36404
36087,12773,36399
36088,12774,36396
36089,12775,36404
36090,12776,36400
36091,12777,36401
36092,12778,36400
36093,12779,36396
36094,12780,36397
36095,12781,36398
36096,12782,36404
36097,12783,36399
36098,12784,36402
36099,12785,36399
36100,12786,36398
36101,12787,36402
36102,12788,36399
36103,12789,36404
36104,12790,36402
36105,12791,36399
36106,12792,36402
36107,12793,36399
36108,12794,36398
36109,12795,36399
36110,12796,36394
36111,12797,36404
36112,12798,36404
36113,12799,36398
36114,12800,36396
36115,12801,36394
36116,12802,36404
36117,12803,36403
36118,12804,36399
36119,12805,36402
36120,12806,36399
36121,12807,36399
36122,12808,36399
36123,12809,36398
36124,12810,36398
36125,12811,36396
36126,12812,36398
36127,12813,36399
36128,12814,36402
36129,12815,36396
36130,12816,36399
36131,12817,36402
36132,12818,36400
36133,12819,36404
36134,12820,36396
36135,12821,36396
36136,12822,36399
36137,12823,36402
36138,12824,36396
36139,12825,36399
36140,12826,36400
36141,12827,36404
36142,12828,36396
36143,12829,36402
36144,12830,36398
36145,12831,36399
36146,12832,36399
36147,12833,36396
36148,12834,36396
36149,12835,36403
36150,12836,36397
36151,12837,36401
36152,12838,36397
36153,12839,36396
36154,12840,36395
36155,12841,36402
36156,12842,36394
36157,12843,36398
36158,12844,36395
36159,12845,36397
36160,12846,36404
36161,12847,36402
36162,12848,36404
36163,12849,36394
36164,12850,36399
36165,12851,36399
36166,12852,36403
36167,12853,36402
36168,12854,36402
36169,12855,36396
36170,12856,36402
36171,12857,36396
36172,12858,36395
36173,12859,36402
36174,12860,36396
36175,12861,36396
36176,12862,36402
36177,12863,36402
36178,12864,36396
36179,12865,36394
36180,12866,36399
36181,12867,36396
36182,12868,36399
36183,12869,36404
36184,12870,36394
36185,12871,36404
36186,12872,36399
36187,12873,36396
36188,12874,36398
36189,12875,36402
36190,12876,36396
36191,12877,36402
36192,12878,36396
36193,12879,36399
36194,12880,36402
36195,12881,36401
36196,12882,36401
36197,12883,36401
36198,12884,36395
36199,12885,36399
36200,12886,36402
36201,12887,36394
36202,12888,36396
36203,12889,36402
36204,12890,36404
36205,12891,36398
36206,12892,36400
36207,12893,36404
36208,12894,36397
36209,12895,36402
36210,12896,36401
36211,12897,36402
36212,12898,36398
36213,12899,36396
36214,12900,36402
36215,12901,36404
36216,12902,36399
36217,12903,36398
36218,12904,36399
36219,12905,36396
36220,12906,36396
36221,12907,36401
36222,12908,36398
36223,12909,36399
36224,12910,36399
36225,12911,36402
36226,12912,36398
36227,12913,36399
36228,12914,36396
36229,12915,36398
36230,12916,36398
36231,12917,36395
36232,12918,36399
36233,12919,36399
36234,12920,36396
36235,12921,36397
36236,12922,36394
36237,12923,36396
36238,12924,36402
36239,12925,36402
36240,12926,36395
36241,12927,36394
36242,12928,36394
36243,12929,36396
36244,12930,36399
36245,12931,36399
36246,12932,36402
36247,12933,36403
36248,12934,36400
36249,12935,36404
36250,12936,36395
36251,12937,36403
36252,12938,36404
36253,12939,36395
36254,12940,36403
36255,12941,36396
36256,12942,36394
36257,12943,36395
36258,12944,36402
36259,12945,36399
36260,12946,36398
36261,12947,36400
36262,12948,36402
36263,12949,36398
36264,12950,36397
36265,12951,36402
36266,12952,36396
36267,12953,36399
36268,12954,36399
36269,12955,36394
36270,12956,36402
36271,12957,36398
36272,12958,36400
36273,12959,36402
36274,12960,36402
36275,12961,36397
36276,12962,36394
36277,12963,36395
36278,12964,36396
36279,12965,36399
36280,12966,36404
36281,12967,36402
36282,12968,36396
36283,12969,36396
36284,12970,36396
36285,12971,36402
36286,12972,36400
36287,12973,36398
36288,12974,36396
36289,12975,36402
36290,12976,36399
36291,12977,36396
36292,12978,36398
36293,12979,36394
36294,12980,36402
36295,12981,36396
36296,12982,36402
36297,12983,36402
36298,12984,36401
36299,12985,36403
36300,12986,36398
36301,12987,36394
36302,12988,36396
36303,12989,36404
36304,12990,36402
36305,12991,36398
36306,12992,36395
36307,12993,36404
36308,12994,36394
36309,12995,36399
36310,12996,36402
36311,12997,36394
36312,12998,36396
36313,12999,36399
36314,13000,36400
36315,13001,36399
36316,13002,36396
36317,13003,36398
36318,13004,36399
36319,13005,36402
36320,13006,36394
36321,13007,36399
36322,13008,36402
36323,13009,36396
36324,13010,36396
36325,13011,36395
36326,13012,36402
36327,13013,36402
36328,13014,36399
36329,13015,36396
36330,13016,36400
36331,13017,36402
36332,13018,36396
36333,13019,36399
36334,13020,36399
36335,13021,36399
36336,13022,36395
36337,13023,36394
36338,13024,36398
36339,13025,36398
36340,13026,36395
36341,13027,36396
36342,13028,36399
36343,13029,36402
36344,13030,36399
36345,13031,36402
36346,13032,36394
36347,13033,36398
36348,13034,36399
36349,13035,36399
36350,13036,36394
36351,13037,36399
36352,13038,36397
36353,13039,36402
36354,13040,36404
36355,13041,36404
36356,13042,36398
36357,13043,36398
36358,13044,36394
36359,13045,36401
36360,13046,36396
36361,13047,36398
36362,13048,36394
36363,13049,36404
36364,13050,36399
36365,13051,36398
36366,13052,36399
36367,13053,36404
36368,13054,36396
36369,13055,36399
36370,13056,36396
36371,13057,36400
36372,13058,36398
36373,13059,36394
36374,13060,36399
36375,13061,36396
36376,13062,36396
36377,13063,36396
36378,13064,36402
36379,13065,36399
36380,13066,36394
36381,13067,36399
36382,13068,36404
36383,13069,36403
36384,13070,36395
36385,13071,36398
36386,13072,36404
36387,13073,36396
36388,13074,36399
36389,13075,36399
36390,13076,36402
36391,13077,36395
36392,13078,36399
36393,13079,36399
36394,13080,36400
36395,13081,36399
36396,13082,36402
36397,13083,36404
36398,13084,36400
36399,13085,36398
36400,13086,36395
36401,13087,36400
36402,13088,36398
36403,13089,36396
36404,13090,36401
36405,13091,36396
36406,13092,36398
36407,13093,36402
36408,13094,36401
36409,13095,36398
36410,13096,36394
36411,13097,36396
36412,13098,36404
36413,13099,36401
36414,13100,36401
36415,13101,36394
36416,13102,36401
36417,13103,36394
36418,13104,36403
36419,13105,36394
36420,13106,36400
36421,13107,36397
36422,13108,36399
36423,13109,36398
36424,13110,36402
36425,13111,36400
36426,13112,36396
36427,13113,36398
36428,13114,36401
36429,13115,36399
36430,13116,36402
36431,13117,36399
36432,13118,36400
36433,13119,36402
36434,13120,36394
36435,13121,36403
36436,13122,36402
36437,13123,36400
36438,13124,36394
36439,13125,36403
36440,13126,36395
36441,13127,36394
36442,13128,36399
36443,13129,36403
36444,13130,36399
36445,13131,36402
36446,13132,36396
36447,13133,36395
36448,13134,36396
36449,13135,36400
36450,13136,36399
36451,13137,36399
36452,13138,36402
36453,13139,36394
36454,13140,36398
36455,13141,36399
36456,13142,36396
36457,13143,36399
36458,13144,36400
36459,13145,36396
36460,13146,36402
36461,13147,36398
36462,13148,36402
36463,13149,36404
36464,13150,36397
36465,13151,36401
36466,13152,36394
36467,13153,36398
36468,13154,36399
36469,13155,36394
36470,13156,36400
36471,13157,36396
36472,13158,36396
36473,13159,36395
36474,13160,36400
36475,13161,36396
36476,13162,36399
36477,13163,36398
36478,13164,36402
36479,13165,36396
36480,13166,36404
36481,13167,36399
36482,13168,36398
36483,13169,36396
36484,13170,36396
36485,13171,36401
36486,13172,36396
36487,13173,36398
36488,13174,36396
36489,13175,36397
36490,13176,36401
36491,13177,36398
36492,13178,36395
36493,13179,36399
36494,13180,36402
36495,13181,36403
36496,13182,36402
36497,13183,36394
36498,13184,36398
36499,13185,36401
36500,13186,36399
36501,13187,36401
36502,13188,36400
36503,13189,36402
36504,13190,36396
36505,13191,36399
36506,13192,36400
36507,13193,36395
36508,13194,36395
36509,13195,36404
36510,13196,36399
36511,13197,36404
36512,13198,36403
36513,13199,36399
36514,13200,36404
36515,13201,36396
36516,13202,36411
36517,13203,36412
36518,13204,36413
36519,13205,36414
36520,13206,36415
36521,13207,36416
36522,13208,36412
36523,13209,36417
36524,13210,36415
36525,13211,36415
36526,13212,36411
36527,13213,36418
36528,13214,36419
36529,13215,36412
